1,A. Turing,1937,On computable numbers with an application to the Entscheidungsproblem
2,A. Turing,1990,The chemical basis of morphogenesis
3,A. Turing,1990,Computing Machinery and Intelligence
4,A. Turing,1980,Computing Machinery and Intelligence
5,A. Turing,1952,The chemical basis of morphogenesis
6,A. Turing,1950,THE WORD PROBLEM IN SEMI-GROUPS WITH CANCELLATION
7,A. Turing,1989,Checking a large routine
8,A. Turing,1995,Lecture to the London Mathematical Society on 20 February 1947 1986
9,A. Turing,1954,Solvable and Unsolvable Problems
10,A. Turing,1945,A Method for the Calculation of the Zeta‐Function
11,A. Turing,1953,Some Calculations of the Riemann Zeta‐Function
12,A. Turing,2004,Can automatic calculating machines be said to think
12,M. A. Newman,2004,Can automatic calculating machines be said to think
12,G. Jefferson,2004,Can automatic calculating machines be said to think
12,R. Braithwaite,2004,Can automatic calculating machines be said to think
12,S. Shieber,2004,Can automatic calculating machines be said to think
13,A. Turing,1937,The p-functions in ?-K-conversion
14,A. Turing,1938,Finite Approximations to Lie Groups
15,A. Turing,1937,The $\mathfrak{p}$-Function in $\lambda-K$-Conversion
16,A. Turing,1953,Digital computers applied to games
17,A. Turing,1948,Practical Forms of Type Theory
18,A. Turing,1937,Computability and λ-Definability
19,A. Turing,1938,Systems of Logic Based on Ordinals
20,A. Turing,1950,Programmers' Handbook for Manchester Electronic Computer
21,A. Turing,1948,ROUNDING-OFF ERRORS IN MATRIX PROCESSES
22,A. Turing,2005,Proposed electronic calculator (1945)
23,A. Turing,1938,On Computable Numbers with an Application to the Entscheidungsproblem A Correction
24,A. Turing,1990,The chemical basis of morphogenesis 1953
25,A. Turing,2004,The Essential Turing: Seminal Writings in Computing Logic Philosophy Artificial Intelligence and Artificial Life plus The Secrets of Enigma
25,J. Copeland,2004,The Essential Turing: Seminal Writings in Computing Logic Philosophy Artificial Intelligence and Artificial Life plus The Secrets of Enigma
26,A. Turing,2001,Mathematical Logic
27,A. Turing,1996,Intelligent Machinery A Heretical Theory*
28,A. Turing,1942,The Use of Dots as Brackets in Church's System
29,A. Turing,1989,Computing machinery and intelligence (1950)
30,A. Turing,2001,VISIT TO NATIONAL CASH REGISTER CORPORATION OF DAYTON OHIO
31,A. Turing,1960,APPENDIX One (A) – On Computable Numbers with an Application to the Entscheidungsproblem
32,A. Turing,1989,Local programming methods and conventions
33,A. Turing,1979,Studies in the History of Probability and Statistics XXXVII
33,I. Good,1979,Studies in the History of Probability and Statistics XXXVII
34,A. Turing,1983,Artificial Intelligence : Usfssg Computers to Think about Thinking
35,A. Turing,1935,Equivalence of Left and Right almost Periodicity
36,A. Turing,1937,The þ-function in λ- K -conversion
37,A. Turing,1995,Computer poker
37,D. Billings,1995,Computer poker
37,J. Neumann,1995,Computer poker
37,C. Shannon,1995,Computer poker
37,J. Mccarthy,1995,Computer poker
37,D. Knuth,1995,Computer poker
37,A. Newell,1995,Computer poker
37,H. Simon,1995,Computer poker
37,A. Samuel,1995,Computer poker
37,D. Michie,1995,Computer poker
37,K. Thompson,1995,Computer poker
38,A. Turing,2005,Notes on memory (1945)
39,A. Turing,1998,Si può dire che i calcolatori automatici pensano
40,A. Turing,1998,I calcolatori digitali possono pensare
41,A. Turing,2011,Alan Mathison Turing Universal Turing Machine
42,A. Turing,2018,Konputazio-makinak eta adimena: «Computing Machinery and Intelligence» 1950 Mind 49 (236): 433-460
42,Joseba Xabier Arrazola Iturbe,2018,Konputazio-makinak eta adimena: «Computing Machinery and Intelligence» 1950 Mind 49 (236): 433-460
43,A. Turing,2011,La “machine” de Turing
43,Stefan Schwoon,2011,La “machine” de Turing
43,A. S. Tanenbaum,2011,La “machine” de Turing
43,Contenu d’aujourd’hui,2011,La “machine” de Turing
44,A. Turing,1937,The -Function in lambda-K-Conversion
45,A. Turing,2018,Konputazio makinak eta adimena
46,A. Turing,1987,Intelligence service : Schriften
47,A. Turing,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,A. Tarski,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,S. Maclane,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,H. B. Curry,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,Paul Marhenkei,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,Arnold Dresden,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,K. Menger,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
47,Frederic B. FiTCHc,2016,The President the Vice President the Secretary-Treasurer and ARNOLD DRESDEN2
